iter	Passed	Remaining
632	77144	8165
633	77258	8042
634	77405	7923
635	77486	7797
636	77597	7674
637	77704	7551
638	77774	7424
38	83264	7948
639	83410	7819
640	83562	7691
641	83723	7563
5	79166	6617
646	79338	6499
647	79469	6377
648	79600	6255
649	79750	6134
650	79871	6011
651	79944	5885
652	80041	5761
653	80175	5639
654	80259	5513
655	80388	5391
656	80568	5273
657	80721	5152
658	80909	5033
659	81092	4914
660	81204	4791
661	81333	4668
662	81446	4545
663	81561	4422
664	81645	4297
665	81720	4171
666	81756	4044
667	81848	3920
668	81922	3796
669	81966	3670
	4120
668	86121	3990
669	86278	3863
670	86383	3733
671	86591	3607
672	86699	3478
673	86858	3350
674	87002	3222
675	87092	3092
676	87152	2960
677	87271	2831
678	87364	2701
679	87445	2571
680	87503	2441
681	87547	2310
682	87579	2179
